Business Name,Address,Category,Google Maps Link,Website,Email,Phone Number,Rating,Number of Reviews
Rekoya,Arkan,وكالة تسويق,https://www.google.com/maps/place/Rekoya/data=!4m7!3m6!1s0x145850c8b52bd239:0xd721db8b59b1ea22!8m2!3d30.0203604!4d31.0035775!16s%2Fg%2F11dymnrv0k!19sChIJOdIrtchQWBQRIuqxWYvbIdc?authuser=0&hl=ar&rclk=1,http://rekoya.com/,,,4.8,65
MG Digital - Digital Marketing Agency,012 72728222,وكالة تسويق,https://www.google.com/maps/place/MG+Digital+-+Digital+Marketing+Agency/data=!4m7!3m6!1s0x14583fdbefadb4b3:0x3d6a2c4820ca4faa!8m2!3d30.0905144!4d31.3378563!16s%2Fg%2F11trrw4ggd!19sChIJs7St79s_WBQRqk_KIEgsaj0?authuser=0&hl=ar&rclk=1,https://mg.digital/,info@mg.digital,012 72728222,5.0,57
Wunderman Thompson Cairo,02 27371290,وكالة إعلانية,https://www.google.com/maps/place/Wunderman+Thompson+Cairo/data=!4m7!3m6!1s0x145840e092cf8061:0x42af45bab29528e7!8m2!3d30.059164!4d31.2202519!16s%2Fg%2F1pp2vj4n8!19sChIJYYDPkuBAWBQR5yiVsrpFr0I?authuser=0&hl=ar&rclk=1,https://www.wundermanthompson.com/egypt,,02 27371290,4.5,138
Müller's Cairo - Digital & Creative Agency,"New Cairo, N90",وكالة إعلانية,https://www.google.com/maps/place/M%C3%BCller%27s+Cairo+-+Digital+%26+Creative+Agency/data=!4m7!3m6!1s0x1458231b50f0e4c7:0xc078a387465adaed!8m2!3d30.0279401!4d31.4874226!16s%2Fg%2F11f5tcqpl1!19sChIJx-TwUBsjWBQR7dpaRoejeMA?authuser=0&hl=ar&rclk=1,http://www.muller-mena.com/,,010 93329046,5.0,42
CULTARK,Villa 286 Ganoob El-Acadimia,وكالة تسويق,https://www.google.com/maps/place/CULTARK/data=!4m7!3m6!1s0x14581544b941d849:0x3cac2a413fa90742!8m2!3d30.0360733!4d31.4266307!16s%2Fg%2F11g18vvzxw!19sChIJSdhBuUQVWBQRQgepP0EqrDw?authuser=0&hl=ar&rclk=1,https://cultark.com/,,010 08737333,4.6,25
Essence Adverts,010 01588828,وكالة تسويق,https://www.google.com/maps/place/Essence+Adverts/data=!4m7!3m6!1s0x1458478d569c071d:0x30e5ccc9afc214be!8m2!3d29.9517792!4d31.2667811!16s%2Fg%2F11c2lbxfw2!19sChIJHQecVo1HWBQRvhTCr8nM5TA?authuser=0&hl=ar&rclk=1,https://www.essenceadvertising.com/,logo@2x.png,010 01588828,4.5,49
ARQQA,"12 Amin Anis, Ard El Golf, Heliopolis",خدمة التسويق عبر الإنترنت,https://www.google.com/maps/place/ARQQA/data=!4m7!3m6!1s0x14583e3c4c3e9427:0x24ad914c99721a58!8m2!3d30.0832849!4d31.3240792!16s%2Fg%2F11b6_svpt4!19sChIJJ5Q-TDw-WBQRWBpymUyRrSQ?authuser=0&hl=ar&rclk=1,http://arqqa.net/,info@arqqa.net,011 10115557,4.4,62
Icon Creations,28 7,وكالة تسويق,https://www.google.com/maps/place/Icon+Creations/data=!4m7!3m6!1s0x145840ccc0b96085:0x87f0364e359c5fe7!8m2!3d29.95608!4d31.2600436!16s%2Fg%2F11cffgqjc!19sChIJhWC5wMxAWBQR51-cNU428Ic?authuser=0&hl=ar&rclk=1,https://icon-creations.com/,info@icon-creations.com,012 22124808,4.7,89
Social Media Egypt SME,012 72000280,خدمة التسويق عبر الإنترنت,https://www.google.com/maps/place/Social+Media+Egypt+SME/data=!4m7!3m6!1s0x14583f4c24ffcfb1:0xea97f2aa170e8044!8m2!3d30.0826921!4d31.3283804!16s%2Fg%2F11f2wmyln2!19sChIJsc__JEw_WBQRRIAOF6ryl-o?authuser=0&hl=ar&rclk=1,,,012 72000280,4.5,120
DIGO EGYPT MARKETING AGENCY,010 23366215,وكالة تسويق,https://www.google.com/maps/place/DIGO+EGYPT+MARKETING+AGENCY/data=!4m7!3m6!1s0x1458456d8bca220b:0xe9417b80322f99d4!8m2!3d29.9844603!4d31.153116!16s%2Fg%2F11r3cdhndp!19sChIJCyLKi21FWBQR1JkvMoB7Qek?authuser=0&hl=ar&rclk=1,,,010 23366215,4.8,91
