Business Name,Address,Category,Google Maps Link,Website,Email,Phone Number,Rating,Number of Reviews
Gastrocare Clinic New Cairo - عيادات جستروكير,012 75377055,مركز طبي,https://www.google.com/maps/place/Gastrocare+Clinic+New+Cairo+-+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D8%AC%D8%B3%D8%AA%D8%B1%D9%88%D9%83%D9%8A%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14583d9ab446e487:0xd44eaf5aaa14f62c!8m2!3d30.0047873!4d31.4263788!16s%2Fg%2F11flc2blhv!19sChIJh-RGtJo9WBQRLPYUqlqvTtQ?authuser=0&hl=ar&rclk=1,https://www.vezeeta.com/ar/clinic/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA-%D8%AC%D8%B3%D8%AA%D8%B1%D9%88%D9%83%D9%8A%D8%B1-%D8%A7%D9%84%D8%AA%D8%AE%D8%B5%D8%B5%D9%8A%D8%A9,CustomerService@vezeeta.com,012 75377055,4.8,163
Cairo Capital Clinics,010 00066654,عيادة طبية,https://www.google.com/maps/place/Cairo+Capital+Clinics/data=!4m7!3m6!1s0x145841e5520a9f79:0xb41381ce57f0f127!8m2!3d30.0637796!4d31.2208016!16s%2Fg%2F11g3_9ywtc!19sChIJeZ8KUuVBWBQRJ_HwV86BE7Q?authuser=0&hl=ar&rclk=1,https://www.cairocapitalclinics.com/,,010 00066654,4.9,7
Pure Care Clinics - عيادات بيور كير كلينك,010 25660445,عيادة طبية,https://www.google.com/maps/place/Pure+Care+Clinics+-+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D8%A8%D9%8A%D9%88%D8%B1+%D9%83%D9%8A%D8%B1+%D9%83%D9%84%D9%8A%D9%86%D9%83%E2%80%AD/data=!4m7!3m6!1s0x145840fc7233ffff:0xa80796b5aa5fe72b!8m2!3d30.0558698!4d31.2217712!16s%2Fg%2F11t31t0w3q!19sChIJ__8zcvxAWBQRK-dfqrWWB6g?authuser=0&hl=ar&rclk=1,http://www.purecareclinics.com/,info@purecareclinics.com,010 25660445,4.8,82
Karim Zohdy Ortho Clinic,"11 Al Falki, Bab Al Louq, Abdeen, Cairo Governorate Andeen",جراح تقويم عظام,https://www.google.com/maps/place/Karim+Zohdy+Ortho+Clinic/data=!4m7!3m6!1s0x14584104202c0c4d:0xd22676075b4de3b5!8m2!3d30.0453286!4d31.2402099!16s%2Fg%2F11fd55lt9n!19sChIJTQwsIARBWBQRteNNWwd2JtI?authuser=0&hl=ar&rclk=1,http://karimzohdyorthoclinic.com/,,010 21211000,4.8,150
Denver clinic,010 99355211,جراح تجميل,https://www.google.com/maps/place/Denver+clinic/data=!4m7!3m6!1s0x145840fd18a4a965:0x46a20559be075f2b!8m2!3d30.0558698!4d31.2217712!16s%2Fg%2F1ptxms8_5!19sChIJZamkGP1AWBQRK18HvlkFokY?authuser=0&hl=ar&rclk=1,https://www.denveraestheticclinic.com/,dnvrclinic@gmail.com,010 99355211,4.1,30
دكتور أحمد إسماعيل شكري - أستاذ جراحة المسالك البولية والتناسلية وجراحة المسالك للأطفال,010 23654545,طبيب مسالك بولية,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A3%D8%AD%D9%85%D8%AF+%D8%A5%D8%B3%D9%85%D8%A7%D8%B9%D9%8A%D9%84+%D8%B4%D9%83%D8%B1%D9%8A+-+%D8%A3%D8%B3%D8%AA%D8%A7%D8%B0+%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D9%84%D9%83+%D8%A7%D9%84%D8%A8%D9%88%D9%84%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D9%86%D8%A7%D8%B3%D9%84%D9%8A%D8%A9+%D9%88%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D9%84%D9%83+%D9%84%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x145840b8de2837ed:0x748173cff18265f0!8m2!3d30.0458861!4d31.2423907!16s%2Fg%2F11g6q68lpn!19sChIJ7Tco3rhAWBQR8GWC8c9zgXQ?authuser=0&hl=ar&rclk=1,https://doctorshoukry.com/,,010 23654545,4.8,115
مركز عين العالم لطب وجراحة العيون,012 05566002,مركز عناية بالعيون,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B9%D9%8A%D9%86+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85+%D9%84%D8%B7%D8%A8+%D9%88%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%B9%D9%8A%D9%88%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14584151eab30e23:0x9cdf968ed45da6ad!8m2!3d30.0475!4d31.2464!16s%2Fg%2F11csqf69s3!19sChIJIw6z6lFBWBQRraZd1I6W35w?authuser=0&hl=ar&rclk=1,http://www.eyeoftheworldcare.com/,,012 05566002,4.6,135
Home visit doctor - doctor house call,010 29029206,طبيب,https://www.google.com/maps/place/Home+visit+doctor+-+doctor+house+call/data=!4m7!3m6!1s0x14584151ecdc4429:0xc1ab9967409dca73!8m2!3d30.0330069!4d31.2265478!16s%2Fg%2F11k4wg3w8b!19sChIJKUTc7FFBWBQRc8qdQGeZq8E?authuser=0&hl=ar&rclk=1,http://www.curexmed.com/,INFO@CUREXMED.COM,010 29029206,5.0,1
عيادة اسنان دكتورة ايمان طنطاوي - المهندسين,010 62078492,طبيب أسنان,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D8%B3%D9%86%D8%A7%D9%86+%D8%AF%D9%83%D8%AA%D9%88%D8%B1%D8%A9+%D8%A7%D9%8A%D9%85%D8%A7%D9%86+%D8%B7%D9%86%D8%B7%D8%A7%D9%88%D9%8A+-+%D8%A7%D9%84%D9%85%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0x1458416900169e5f:0xb752742757b0727e!8m2!3d30.0548358!4d31.1991547!16s%2Fg%2F11h7t8fdjy!19sChIJX54WAGlBWBQRfnKwVyd0Urc?authuser=0&hl=ar&rclk=1,http://www.dentistemantantawy.com/,,010 62078492,4.8,530
ElGamal Clinic ( Mohandessin ) الجمل كلينك - جراحة التجميل والجلدية و الليزر و الاسنان و العلاج الطبيعي و التغذية,012 06666199,مركز طبي,https://www.google.com/maps/place/ElGamal+Clinic+%28+Mohandessin+%29+%D8%A7%D9%84%D8%AC%D9%85%D9%84+%D9%83%D9%84%D9%8A%D9%86%D9%83+-+%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84+%D9%88%D8%A7%D9%84%D8%AC%D9%84%D8%AF%D9%8A%D8%A9+%D9%88+%D8%A7%D9%84%D9%84%D9%8A%D8%B2%D8%B1+%D9%88+%D8%A7%D9%84%D8%A7%D8%B3%D9%86%D8%A7%D9%86+%D9%88+%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D8%AC+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%B9%D9%8A+%D9%88+%D8%A7%D9%84%D8%AA%D8%BA%D8%B0%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x145841e7655c09cf:0x476e30ba4d401d61!8m2!3d30.0525247!4d31.2045146!16s%2Fg%2F11qgx9l4k5!19sChIJzwlcZedBWBQRYR1ATbowbkc?authuser=0&hl=ar&rclk=1,http://www.elgamalclinic.com/,info@elgamalclinic.com,012 06666199,4.7,181
